hit_index,term,start,end
0,削除,33,35
1,確認,1646,1648
2,監視,1984,1986
3,確認,2128,2130
4,監視,14477,14479
5,確認,70744,70746
6,監視,70976,70978
7,確認,71024,71026
8,監視,71582,71584
9,削除,71674,71676
10,監視,74134,74136
11,監視,74283,74285
12,確認,97116,97118
13,確認,97223,97225
14,確認,97604,97606
15,監視,97712,97714
16,監視,97784,97786
17,確認,97790,97792
18,確認,98013,98015
19,監視,98041,98043
20,監視,98069,98071
21,監視,98207,98209
22,確認,98240,98242
23,設定,100621,100623
24,許可,100676,100678
25,監視,101125,101127
26,監視,103178,103180
27,共有,104167,104169
28,設定,104324,104326
29,確認,106679,106681
30,確認,106684,106686
31,確認,109086,109088
32,確認,109091,109093
33,確認,112802,112804
34,確認,112807,112809
35,確認,121351,121353
36,確認,122411,122413
37,確認,122611,122613
38,確認,125879,125881
39,確認,126079,126081
40,監視,132519,132521
41,監視,133076,133078
42,確認,135113,135115
43,確認,135260,135262
44,確認,137481,137483
45,確認,139601,139603
46,設定,142831,142833
47,設定,143149,143151
48,設定,143183,143185
49,監視,143194,143196
50,設定,143211,143213
51,確認,144703,144705
52,確認,148078,148080
53,確認,156842,156844
54,確認,159522,159524
55,設定,181217,181219
56,削除,181267,181269
57,監視,181347,181349
58,確認,183387,183389
59,確認,185312,185314
60,許可,189090,189092
61,確認,190388,190390
62,確認,192625,192627
63,復元,196594,196596
64,復元,198480,198482
65,復元,200988,200990
66,復元,203785,203787
67,復元,204479,204481
68,確認,206314,206316
69,確認,206394,206396
70,確認,207619,207621
71,確認,207858,207860
72,確認,208386,208388
73,確認,208466,208468
74,確認,208945,208947
75,確認,209188,209190
76,確認,210172,210174
77,確認,210956,210958
78,削除,212427,212429
79,確認,212476,212478
80,確認,213520,213522
81,確認,215648,215650
82,復元,218887,218889
83,復元,218917,218919
84,確認,219622,219624
85,確認,231580,231582
86,確認,240021,240023
87,追跡,240548,240550
88,確認,242577,242579
89,確認,242706,242708
90,確認,244868,244870
91,確認,257484,257486
92,確認,270172,270174
93,設定,270378,270380
94,設定,271055,271057
95,設定,271117,271119
96,追跡,271567,271569
97,確認,272762,272764
98,監視,273012,273014
99,監視,274062,274064
100,確認,274323,274325
101,監視,274715,274717
102,削除,274927,274929
103,確認,275122,275124
104,認証,317672,317674
105,削除,328009,328011
106,確認,329503,329505
107,確認,329660,329662
108,確認,332179,332181
109,確認,334176,334178
110,確認,336325,336327
111,確認,336815,336817
112,確認,337965,337967
113,確認,340147,340149
114,確認,346738,346740
115,設定,358844,358846
116,監視,359571,359573
117,追跡,360268,360270
118,確認,361201,361203
119,監視,362074,362076
120,追跡,362129,362131
121,監視,362568,362570
122,確認,363117,363119
123,確認,363723,363725
124,設定,364229,364231
125,監視,366172,366174
126,監視,366965,366967
127,監視,369461,369463
128,追跡,369473,369475
129,監視,369910,369912
130,削除,392638,392640
131,設定,394605,394607
132,確認,394693,394695
133,設定,396996,396998
134,確認,397096,397098
135,設定,398635,398637
136,確認,398735,398737
137,遮断,407673,407675
138,削除,408213,408215
139,遮断,408265,408267
140,設定,410072,410074
141,確認,410162,410164
142,設定,412483,412485
143,確認,412578,412580
144,設定,414134,414136
145,確認,414229,414231
146,確認,416187,416189
147,確認,416294,416296
148,確認,418654,418656
149,確認,418761,418763
150,設定,422770,422772
151,設定,423189,423191
152,追跡,423395,423397
153,削除,423409,423411
154,設定,423608,423610
155,確認,424768,424770
156,監視,425018,425020
157,監視,426305,426307
158,監視,426563,426565
159,削除,426902,426904
160,追跡,446234,446236
161,監視,446257,446259
162,追跡,446429,446431
163,監視,446788,446790
164,監視,447072,447074
165,監視,447457,447459
166,削除,448110,448112
167,遮断,460909,460911
168,削除,462646,462648
169,追跡,462831,462833
170,確認,465047,465049
171,確認,467435,467437
172,確認,469126,469128
173,確認,471011,471013
174,設定,471708,471710
175,監視,471733,471735
176,遮断,472415,472417
177,監視,472802,472804
178,確認,482869,482871
179,確認,482992,482994
180,遮断,483006,483008
181,確認,483055,483057
182,確認,489337,489339
183,確認,489437,489439
184,確認,490681,490683
185,確認,490781,490783
186,確認,492348,492350
187,確認,506632,506634
188,遮断,510355,510357
189,遮断,510433,510435
190,遮断,510572,510574
191,遮断,510659,510661
192,監視,510662,510664
193,追跡,510665,510667
194,設定,533335,533337
195,設定,533403,533405
196,監視,534089,534091
197,追跡,534369,534371
198,遮断,549271,549273
199,監視,549481,549483
200,設定,550201,550203
201,監視,568844,568846
202,確認,568962,568964
203,確認,579885,579887
204,確認,582362,582364
205,設定,586716,586718
206,確認,588890,588892
207,確認,590049,590051
208,確認,592483,592485
209,確認,595986,595988
210,確認,596016,596018
211,設定,596133,596135
212,設定,613392,613394
213,確認,615000,615002
214,確認,621059,621061
215,確認,621107,621109
216,確認,621262,621264
217,確認,621362,621364
218,確認,621404,621406
219,確認,623769,623771
220,復元,624136,624138
221,確認,624374,624376
222,確認,624425,624427
223,削除,632490,632492
224,削除,632527,632529
225,削除,632551,632553
226,削除,632596,632598
227,削除,632644,632646
228,削除,632702,632704
229,削除,632798,632800
230,確認,632931,632933
231,削除,633044,633046
232,削除,633102,633104
233,監視,635643,635645
234,削除,635898,635900
235,確認,636104,636106
236,確認,636206,636208
237,監視,640338,640340
238,設定,640593,640595
239,設定,641366,641368
240,確認,641422,641424
241,削除,641435,641437
242,確認,664008,664010
243,確認,734015,734017
244,監視,734281,734283
245,監視,734292,734294
246,監視,734466,734468
247,監視,776049,776051
248,監視,776060,776062
249,監視,776519,776521
250,監視,784918,784920
251,追跡,785065,785067
252,認証,791170,791172
253,認証,793470,793472
254,認証,793477,793479
255,認証,794225,794227
256,認証,794340,794342
257,認証,794349,794351
258,設定,794929,794931
259,認証,795602,795604
260,設定,795766,795768
261,認証,798421,798423
262,認証,800512,800514
263,確認,800889,800891
264,認証,801883,801885
265,認証,802752,802754
266,削除,803223,803225
267,設定,803238,803240
268,削除,803259,803261
269,設定,803280,803282
270,設定,803647,803649
271,認証,803730,803732
272,認証,803747,803749
273,認証,803874,803876
274,認証,804012,804014
275,設定,804091,804093
276,認証,805823,805825
277,監視,806044,806046
278,共有,806235,806237
279,認証,806560,806562
280,確認,806569,806571
281,削除,806586,806588
282,復元,806728,806730
283,復元,806763,806765
284,認証,806833,806835
285,認証,807069,807071
286,確認,807132,807134
287,認証,809714,809716
288,監視,809729,809731
289,遮断,809835,809837
290,遮断,809861,809863
291,認証,809892,809894
292,認証,809907,809909
293,監視,810059,810061
294,遮断,815784,815786
295,遮断,815836,815838
296,監視,817818,817820
297,遮断,818451,818453
298,遮断,818539,818541
299,遮断,818619,818621
300,設定,818806,818808
301,設定,818847,818849
302,確認,818942,818944
303,削除,818967,818969
304,遮断,822316,822318
305,遮断,822324,822326
306,監視,825440,825442
307,遮断,825571,825573
308,監視,827828,827830
309,監視,828547,828549
310,確認,830438,830440
311,認証,830516,830518
312,認証,830526,830528
313,設定,830919,830921
314,認証,831026,831028
315,確認,831373,831375
316,確認,831404,831406
317,設定,831421,831423
318,確認,831469,831471
319,削除,831497,831499
320,確認,831575,831577
321,削除,831578,831580
322,確認,831649,831651
323,削除,831664,831666
324,設定,831688,831690
325,認証,831840,831842
326,認証,833969,833971
327,認証,834007,834009
328,認証,834059,834061
329,認証,834078,834080
330,許可,834098,834100
331,監視,834252,834254
332,復元,835243,835245
333,監視,837899,837901
334,確認,838195,838197
335,監視,841716,841718
336,監視,842005,842007
337,監視,842218,842220
338,確認,842614,842616
339,監視,842747,842749
340,監視,848726,848728
341,監視,848924,848926
342,監視,854830,854832
343,確認,855984,855986
344,監視,856029,856031
345,設定,856318,856320
346,確認,857104,857106
347,遮断,857866,857868
348,復元,857893,857895
349,復元,857912,857914
350,設定,860283,860285
351,監視,860766,860768
352,監視,861184,861186
353,監視,863339,863341
354,確認,864001,864003
355,追跡,864094,864096
356,監視,864339,864341
357,認証,867095,867097
358,削除,867127,867129
359,設定,867369,867371
360,設定,867409,867411
361,削除,867549,867551
362,確認,867616,867618
363,削除,867628,867630
364,認証,867682,867684
365,認証,867872,867874
366,設定,867882,867884
367,設定,868101,868103
368,削除,868104,868106
369,削除,869107,869109
370,認証,870086,870088
371,設定,870153,870155
372,削除,870217,870219
373,削除,870893,870895
374,削除,870909,870911
375,削除,871052,871054
376,削除,872744,872746
377,確認,872807,872809
378,確認,872930,872932
379,削除,872952,872954
380,削除,873139,873141
381,設定,881505,881507
382,設定,881591,881593
383,設定,881719,881721
384,設定,882150,882152
385,設定,882179,882181
386,確認,882621,882623
387,設定,882629,882631
388,確認,882666,882668
389,確認,882938,882940
390,遮断,889837,889839
391,遮断,889871,889873
392,確認,889917,889919
393,設定,889935,889937
394,削除,889973,889975
395,設定,889982,889984
396,設定,890019,890021
397,確認,890030,890032
398,認証,890069,890071
399,認証,890086,890088
400,設定,890122,890124
401,削除,890214,890216
402,監視,890257,890259
403,設定,890362,890364
404,設定,890396,890398
405,設定,890453,890455
406,設定,890486,890488
407,設定,890732,890734
408,削除,890751,890753
409,設定,890770,890772
410,設定,890800,890802
411,設定,890826,890828
412,確認,893453,893455
413,確認,893492,893494
414,設定,893498,893500
415,削除,893641,893643
416,確認,893672,893674
417,設定,893677,893679
418,確認,893887,893889
419,設定,893894,893896
420,設定,894080,894082
421,削除,894158,894160
422,復元,894223,894225
423,確認,894303,894305
424,監視,896267,896269
425,確認,896730,896732
426,設定,896741,896743
427,設定,896800,896802
428,設定,896976,896978
429,削除,897010,897012
430,削除,897033,897035
431,削除,897052,897054
432,復元,897076,897078
433,確認,897153,897155
434,確認,899325,899327
435,確認,899382,899384
436,設定,899738,899740
437,設定,899938,899940
438,設定,899960,899962
439,削除,900141,900143
440,設定,900154,900156
441,設定,900211,900213
442,復元,900322,900324
443,確認,900346,900348
444,設定,900388,900390
445,確認,902882,902884
446,遮断,906093,906095
447,確認,906364,906366
448,遮断,906487,906489
449,遮断,906511,906513
450,確認,906651,906653
451,設定,906774,906776
452,削除,906825,906827
453,削除,906850,906852
454,設定,906858,906860
455,設定,906954,906956
456,設定,906968,906970
457,設定,906994,906996
458,復元,907054,907056
459,設定,907100,907102
460,復元,907377,907379
461,遮断,907490,907492
462,確認,918613,918615
463,追跡,920493,920495
464,確認,920639,920641
465,設定,921671,921673
466,設定,921761,921763
467,設定,922912,922914
468,設定,923062,923064
469,確認,923198,923200
470,追跡,925232,925234
471,遮断,925634,925636
472,遮断,929566,929568
473,削除,929596,929598
474,監視,931694,931696
475,許可,932054,932056
476,確認,932611,932613
477,遮断,934749,934751
478,遮断,938169,938171
479,確認,938327,938329
480,確認,942369,942371
481,遮断,942452,942454
482,確認,942810,942812
483,遮断,943009,943011
484,監視,943153,943155
485,監視,944568,944570
486,監視,946051,946053
487,監視,947147,947149
488,監視,947223,947225
489,監視,949807,949809
490,確認,951481,951483
491,監視,951656,951658
492,遮断,951671,951673
493,設定,951913,951915
494,設定,951985,951987
495,復元,952090,952092
496,確認,955049,955051
497,追跡,957743,957745
498,確認,960867,960869
499,確認,961081,961083
500,追跡,963865,963867
501,監視,963891,963893
502,設定,964109,964111
503,監視,964290,964292
504,監視,964342,964344
505,削除,964449,964451
506,設定,964454,964456
507,設定,964491,964493
508,確認,964542,964544
509,削除,964546,964548
510,共有,966525,966527
511,監視,966893,966895
512,確認,966973,966975
513,確認,967042,967044
514,遮断,967203,967205
515,確認,967223,967225
516,確認,969666,969668
517,削除,969784,969786
518,設定,969792,969794
519,設定,969834,969836
520,削除,969875,969877
521,監視,969902,969904
522,確認,970156,970158
523,監視,971871,971873
524,監視,972200,972202
525,共有,973707,973709
526,監視,973796,973798
527,監視,973992,973994
528,遮断,974192,974194
529,確認,974325,974327
530,監視,976068,976070
531,遮断,981240,981242
532,監視,981262,981264
533,削除,981275,981277
534,追跡,981289,981291
535,確認,984147,984149
536,遮断,984406,984408
537,確認,995012,995014
538,確認,995063,995065
539,確認,995537,995539
540,確認,995609,995611
541,監視,995654,995656
542,確認,995878,995880
543,確認,995959,995961
544,監視,997758,997760
545,監視,998032,998034
546,確認,998248,998250
547,確認,1010577,1010579
548,確認,1010988,1010990
549,監視,1015147,1015149
550,確認,1015239,1015241
551,確認,1015326,1015328
552,監視,1015360,1015362
553,確認,1016312,1016314
554,確認,1016552,1016554
555,監視,1016902,1016904
556,確認,1017033,1017035
557,確認,1017099,1017101
558,追跡,1017399,1017401
559,監視,1019486,1019488
560,確認,1019723,1019725
561,確認,1019744,1019746
562,確認,1019932,1019934
563,確認,1022026,1022028
564,監視,1026337,1026339
565,監視,1026518,1026520
566,確認,1026817,1026819
567,確認,1029631,1029633
568,監視,1031860,1031862
569,確認,1032138,1032140
570,監視,1034407,1034409
571,監視,1034514,1034516
572,確認,1037073,1037075
573,監視,1037446,1037448
574,監視,1037530,1037532
575,監視,1037626,1037628
576,確認,1037836,1037838
577,確認,1037938,1037940
578,監視,1037966,1037968
579,監視,1040143,1040145
580,遮断,1040201,1040203
581,確認,1040716,1040718
582,遮断,1040910,1040912
583,監視,1042580,1042582
584,監視,1043176,1043178
585,監視,1043226,1043228
586,監視,1043256,1043258
587,監視,1043578,1043580
588,監視,1043628,1043630
589,監視,1045375,1045377
590,監視,1045618,1045620
591,監視,1045729,1045731
592,監視,1045891,1045893
593,追跡,1045929,1045931
594,監視,1045946,1045948
595,監視,1046139,1046141
596,確認,1046217,1046219
597,監視,1046441,1046443
598,監視,1048239,1048241
599,監視,1048315,1048317
600,監視,1048373,1048375
601,監視,1048667,1048669
602,監視,1048962,1048964
603,監視,1049027,1049029
604,監視,1049125,1049127
605,監視,1049392,1049394
606,監視,1051602,1051604
607,追跡,1051645,1051647
608,追跡,1051807,1051809
609,追跡,1052216,1052218
610,共有,1052735,1052737
611,監視,1052838,1052840
612,遮断,1052932,1052934
613,遮断,1053026,1053028
614,追跡,1053066,1053068
615,追跡,1053246,1053248
616,遮断,1056278,1056280
617,復元,1056343,1056345
618,追跡,1058327,1058329
619,監視,1058984,1058986
620,確認,1059257,1059259
621,遮断,1059272,1059274
622,遮断,1059588,1059590
623,確認,1059612,1059614
624,監視,1061657,1061659
625,監視,1062158,1062160
626,遮断,1062229,1062231
627,監視,1062404,1062406
628,監視,1062684,1062686
629,削除,1065016,1065018
630,追跡,1065068,1065070
631,追跡,1065505,1065507
632,監視,1065551,1065553
633,復元,1065685,1065687
634,監視,1065768,1065770
635,遮断,1065879,1065881
636,監視,1065888,1065890
637,監視,1068361,1068363
638,監視,1068379,1068381
639,監視,1068499,1068501
640,確認,1069233,1069235
641,確認,1071279,1071281
642,確認,1071575,1071577
643,監視,1071655,1071657
644,確認,1072125,1072127
645,監視,1072143,1072145
646,確認,1079677,1079679
647,確認,1079718,1079720
648,確認,1084857,1084859
649,追跡,1087711,1087713
650,確認,1088590,1088592
651,遮断,1088794,1088796
652,監視,1090589,1090591
653,設定,1091394,1091396
654,遮断,1091439,1091441
655,遮断,1091698,1091700
656,遮断,1094720,1094722
657,遮断,1097390,1097392
658,遮断,1097550,1097552
659,監視,1099477,1099479
660,遮断,1102066,1102068
661,設定,1102068,1102070
662,遮断,1102132,1102134
663,遮断,1102290,1102292
664,遮断,1102764,1102766
665,確認,1102802,1102804
666,遮断,1108346,1108348
667,監視,1110488,1110490
668,遮断,1113129,1113131
669,確認,1129705,1129707
670,確認,1129992,1129994
671,確認,1173839,1173841
672,確認,1173985,1173987
673,監視,1193525,1193527
674,確認,1193784,1193786
675,監視,1193809,1193811
676,確認,1193904,1193906
677,監視,1195168,1195170
678,監視,1195921,1195923
679,監視,1196294,1196296
680,監視,1196531,1196533
681,遮断,1196571,1196573
682,監視,1196637,1196639
683,確認,1196751,1196753
684,確認,1197045,1197047
685,確認,1256989,1256991
686,設定,1290533,1290535
687,設定,1312775,1312777
688,設定,1312878,1312880
689,許可,1330606,1330608
690,確認,1348766,1348768
691,確認,1379437,1379439
692,確認,1379462,1379464
693,確認,1379812,1379814
694,監視,1399970,1399972
695,共有,1400168,1400170
696,確認,1400465,1400467
697,共有,1400556,1400558
698,追跡,1400752,1400754
699,監視,1400805,1400807
700,監視,1402573,1402575
701,追跡,1402757,1402759
702,追跡,1402875,1402877
703,監視,1403012,1403014
704,確認,1403280,1403282
705,確認,1403427,1403429
706,確認,1403522,1403524
707,追跡,1403597,1403599
708,監視,1405927,1405929
709,監視,1405985,1405987
710,監視,1406142,1406144
711,共有,1406430,1406432
712,監視,1408380,1408382
713,監視,1408650,1408652
714,監視,1408716,1408718
715,監視,1408844,1408846
716,監視,1409061,1409063
717,監視,1409138,1409140
718,確認,1409200,1409202
719,監視,1409225,1409227
720,削除,1409378,1409380
721,監視,1411450,1411452
722,監視,1412431,1412433
723,遮断,1412540,1412542
724,確認,1415001,1415003
725,確認,1416894,1416896
726,確認,1416953,1416955
727,確認,1417844,1417846
728,確認,1418489,1418491
729,確認,1419155,1419157
730,共有,1419198,1419200
731,確認,1421242,1421244
732,監視,1421773,1421775
733,削除,1422119,1422121
734,削除,1422174,1422176
735,遮断,1424773,1424775
736,遮断,1424810,1424812
737,確認,1428036,1428038
738,監視,1428563,1428565
739,確認,1428602,1428604
740,追跡,1429046,1429048
741,設定,1430004,1430006
742,確認,1434447,1434449
743,確認,1439211,1439213
744,確認,1439415,1439417
745,確認,1439493,1439495
746,共有,1440043,1440045
747,設定,1440225,1440227
748,認証,1440248,1440250
749,確認,1440614,1440616
750,設定,1440675,1440677
751,監視,1440785,1440787
752,確認,1440806,1440808
753,遮断,1442823,1442825
754,遮断,1442846,1442848
755,遮断,1442867,1442869
756,監視,1442977,1442979
757,監視,1443006,1443008
758,削除,1444298,1444300
759,削除,1444312,1444314
760,削除,1444329,1444331
761,削除,1444387,1444389
762,削除,1444574,1444576
763,削除,1444789,1444791
764,復元,1444799,1444801
765,確認,1444923,1444925
766,確認,1445014,1445016
767,確認,1445118,1445120
768,復元,1445552,1445554
769,共有,1447986,1447988
770,確認,1448102,1448104
771,監視,1448452,1448454
772,確認,1448632,1448634
773,遮断,1450538,1450540
774,確認,1450829,1450831
775,設定,1452210,1452212
776,設定,1453085,1453087
777,設定,1453121,1453123
778,設定,1453300,1453302
779,確認,1453390,1453392
780,設定,1453403,1453405
781,確認,1453466,1453468
782,設定,1453626,1453628
783,確認,1455411,1455413
784,監視,1455884,1455886
785,設定,1455948,1455950
786,設定,1456159,1456161
787,設定,1456255,1456257
788,設定,1456325,1456327
789,設定,1458608,1458610
790,設定,1458619,1458621
791,設定,1459042,1459044
792,設定,1459144,1459146
793,設定,1459317,1459319
794,設定,1460477,1460479
795,設定,1461380,1461382
796,共有,1461419,1461421
797,設定,1461605,1461607
798,設定,1461723,1461725
799,設定,1461782,1461784
800,設定,1461929,1461931
801,許可,1461980,1461982
802,設定,1462041,1462043
803,確認,1462077,1462079
804,確認,1464217,1464219
805,遮断,1465008,1465010
806,設定,1465185,1465187
807,設定,1465255,1465257
808,確認,1465326,1465328
809,監視,1467152,1467154
810,監視,1467455,1467457
811,監視,1467677,1467679
812,遮断,1468064,1468066
813,監視,1468273,1468275
814,確認,1470615,1470617
815,認証,1470722,1470724
816,認証,1470821,1470823
817,認証,1471073,1471075
818,監視,1471217,1471219
819,監視,1471310,1471312
820,追跡,1471949,1471951
821,監視,1473604,1473606
822,監視,1474076,1474078
823,確認,1475199,1475201
824,確認,1476395,1476397
825,監視,1476492,1476494
826,監視,1478994,1478996
827,監視,1481825,1481827
828,監視,1484516,1484518
829,遮断,1484871,1484873
830,確認,1485360,1485362
831,監視,1485711,1485713
832,監視,1487715,1487717
833,確認,1488240,1488242
834,設定,1488292,1488294
835,確認,1488336,1488338
836,確認,1488605,1488607
837,設定,1488633,1488635
838,確認,1493518,1493520
839,確認,1496559,1496561
840,監視,1497009,1497011
841,確認,1497308,1497310
842,確認,1497487,1497489
843,認証,1499654,1499656
844,監視,1500220,1500222
845,設定,1525967,1525969
846,設定,1527638,1527640
847,設定,1528515,1528517
848,設定,1528648,1528650
849,確認,1589791,1589793
850,設定,1590055,1590057
851,監視,1590385,1590387
852,設定,1590663,1590665
853,監視,1590881,1590883
854,設定,1593058,1593060
855,確認,1595181,1595183
856,認証,1595353,1595355
857,確認,1595877,1595879
858,認証,1603770,1603772
859,設定,1604041,1604043
860,確認,1604167,1604169
861,確認,1604307,1604309
862,監視,1605826,1605828
863,追跡,1605829,1605831
864,監視,1605995,1605997
865,確認,1606535,1606537
866,追跡,1610979,1610981
867,遮断,1612967,1612969
868,遮断,1613068,1613070
869,監視,1613575,1613577
870,確認,1613607,1613609
871,遮断,1613898,1613900
872,設定,1615031,1615033
873,監視,1615803,1615805
874,監視,1616541,1616543
875,確認,1616690,1616692
876,確認,1616797,1616799
877,監視,1616940,1616942
878,監視,1618250,1618252
879,監視,1618485,1618487
880,共有,1618651,1618653
881,確認,1621925,1621927
882,監視,1623642,1623644
883,確認,1623788,1623790
884,確認,1623916,1623918
885,遮断,1623994,1623996
886,遮断,1624020,1624022
887,遮断,1624762,1624764
888,監視,1627477,1627479
889,遮断,1629248,1629250
890,遮断,1629681,1629683
891,遮断,1629912,1629914
892,遮断,1629948,1629950
893,遮断,1630024,1630026
894,遮断,1630409,1630411
895,確認,1632689,1632691
896,遮断,1633044,1633046
897,監視,1633117,1633119
898,監視,1633162,1633164
899,監視,1633299,1633301
900,遮断,1635347,1635349
901,確認,1635713,1635715
902,認証,1638590,1638592
903,確認,1638790,1638792
904,確認,1638931,1638933
905,認証,1645829,1645831
906,監視,1649008,1649010
907,確認,1649161,1649163
908,共有,1649198,1649200
909,確認,1651660,1651662
910,確認,1652264,1652266
911,監視,1654241,1654243
912,追跡,1654523,1654525
913,確認,1654653,1654655
914,確認,1654694,1654696
915,確認,1655184,1655186
916,監視,1657247,1657249
917,監視,1657578,1657580
918,設定,1657629,1657631
919,確認,1657707,1657709
920,設定,1657891,1657893
921,確認,1657961,1657963
922,監視,1660833,1660835
923,確認,1661249,1661251
924,確認,1661462,1661464
925,確認,1661662,1661664
926,監視,1661743,1661745
927,監視,1661877,1661879
928,確認,1665360,1665362
929,共有,1665449,1665451
930,確認,1665554,1665556
931,監視,1665967,1665969
932,確認,1666339,1666341
933,確認,1666362,1666364
934,監視,1669645,1669647
935,設定,1669750,1669752
936,設定,1669826,1669828
937,確認,1670116,1670118
938,設定,1670129,1670131
939,許可,1670196,1670198
940,確認,1670249,1670251
941,設定,1670262,1670264
942,設定,1670583,1670585
943,削除,1670908,1670910
944,削除,1670938,1670940
945,復元,1670970,1670972
946,削除,1671033,1671035
947,確認,1672945,1672947
948,設定,1673418,1673420
949,設定,1673554,1673556
950,設定,1673675,1673677
951,設定,1673722,1673724
952,確認,1673830,1673832
953,遮断,1674280,1674282
954,確認,1676067,1676069
955,監視,1676077,1676079
956,設定,1676102,1676104
957,確認,1676190,1676192
958,許可,1676308,1676310
959,設定,1676318,1676320
960,設定,1676447,1676449
961,監視,1676824,1676826
962,共有,1677017,1677019
963,確認,1677173,1677175
964,削除,1677265,1677267
